"","StemTag","sp","crown_living","broken_stem","defoliation","rot","wound","fire","insect","canker","leaf_damage","hollow_stem","overtopped","animal","lightning","fungi","crushed","bark_beetles","unknown","postfire_leaf_loss","water","bai","ba_m_2019","idw_con","idw_het"
"6297",2121010,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4112,1.669239480955,0.0243284935093994,1464.44002977799,0
"6298",2121011,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4112,9.14084943937058,0.0441150294398713,1601.73019646475,0
"6299",2121012,"PIPA",67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4112,-0.746063843131068,0.0113097335529233,1349.08654981188,0
"6300",2121013,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4112,10.4010076954155,0.041547562843725,1570.62779090665,0
"6301",2121014,"PIPA",93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,2.67078316952803,0.0349667116326178,915.621155835552,0
"6302",2121015,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4112,2.90902204380517,0.041547562843725,848.632250290729,0
"6303",2121017,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4112,12.029495789981,0.0156145008865047,743.985863773688,0
"6304",2121018,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4112,16.2613705304304,0.029864765163188,662.977288298326,37.9249435298209
"6305",2121019,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,4.85881914644184,0.0176714586764426,779.337155122157,42.4750511073415
"6306",2121021,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,6.60642667814593,0.0138929081123375,678.713793133148,58.717598296161
"6307",2121022,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.192,2.23348944634827,0.00125663706143592,630.897971163379,103.146753715705
"6308",2121023,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0208,13.0858971140784,0.0226980069221863,659.938342763194,49.0215991775008
"6309",2121024,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,11.6611659514604,0.0160606070433144,753.291778956352,40.2132345750213
"6310",2121025,"PIPA",100,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13.1064,7.47474468044553,0.0105683176866761,560.573651641149,146.314386744269
"6311",2121026,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0208,4.66446638058417,0.0109358840271461,796.004895517019,45.7949860120837
"6312",2121027,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0208,17.5904926711345,0.0251649425534176,647.202087921807,41.9515199929971
